id_cliente,piano,fatturazione,mesi_anzianita,licenze,utenti_attivi_30gg,login_medi_settimana,feature_usate,integrazioni_attive,ticket_90gg,tempo_risposta_medio_ore,ritardi_pagamento_12m,churn
C-00001,Pro,annuale,8,42,33,3.4,4,0,2,9.2,1,0
C-00002,Basic,mensile,49,8,6,2.8,7,2,1,6.7,1,0
C-00003,Enterprise,annuale,13,34,27,3.5,6,1,2,6.3,1,0
C-00004,Pro,annuale,2,33,30,3.2,7,1,1,12.3,1,0
C-00005,Basic,mensile,15,10,5,1.4,5,0,2,16.4,0,1
C-00006,Enterprise,annuale,24,90,44,3.7,6,1,4,21.4,1,0
C-00007,Pro,mensile,25,41,30,4.2,8,0,1,9.0,1,0
C-00008,Pro,mensile,7,45,29,2.4,5,0,4,8.7,1,0
C-00009,Basic,mensile,20,9,6,5.8,4,1,0,10.8,1,0
C-00010,Pro,annuale,35,21,12,5.1,3,2,2,11.1,0,0
C-00011,Basic,mensile,5,10,8,4.4,6,1,1,6.3,2,1
C-00012,Enterprise,mensile,8,74,43,4.4,6,5,4,24.0,0,0
C-00013,Pro,mensile,26,26,18,3.2,6,1,1,10.1,0,0
C-00014,Pro,mensile,27,49,33,4.8,2,0,1,13.8,0,0
C-00015,Basic,mensile,45,5,4,5.4,2,1,4,12.9,0,0
C-00016,Basic,mensile,21,5,4,4.3,8,1,0,12.7,0,0
C-00017,Pro,mensile,22,21,16,2.4,6,2,0,5.5,0,0
C-00018,Basic,mensile,10,7,3,3.1,3,1,1,10.0,1,0
C-00019,Pro,annuale,46,23,21,4.0,3,2,2,39.3,2,0
C-00020,Pro,mensile,48,17,8,4.4,4,0,1,25.9,1,0
C-00021,Pro,annuale,19,14,8,3.1,7,1,2,11.0,0,0
C-00022,Basic,mensile,11,5,3,2.4,6,1,1,8.0,2,0
C-00023,Enterprise,mensile,19,275,177,5.4,6,2,2,2.6,1,0
C-00024,Enterprise,mensile,20,268,122,1.7,6,0,1,7.4,1,1
C-00025,Pro,mensile,10,6,5,1.9,7,1,0,9.5,0,0
C-00026,Basic,mensile,12,10,7,1.3,5,1,4,8.3,1,0
C-00027,Pro,annuale,48,6,4,1.9,5,1,1,8.6,0,0
C-00028,Basic,mensile,29,9,2,4.9,5,1,3,14.5,0,0
C-00029,Basic,mensile,17,2,0,5.0,9,2,0,5.5,0,0
C-00030,Pro,annuale,8,32,24,3.1,6,2,1,11.8,1,0
C-00031,Pro,mensile,12,6,4,3.9,6,2,1,9.4,0,0
C-00032,Enterprise,mensile,4,180,49,3.2,7,4,2,5.9,0,0
C-00033,Basic,mensile,24,1,1,1.5,4,1,0,27.3,1,1
C-00034,Basic,mensile,11,5,4,6.3,5,0,0,15.7,0,0
C-00035,Pro,mensile,25,10,4,5.1,6,1,1,6.2,0,0
C-00036,Basic,annuale,34,6,5,3.7,9,1,1,13.6,1,0
C-00037,Basic,annuale,26,1,1,2.0,4,0,1,4.3,1,1
C-00038,Pro,mensile,15,33,18,2.9,5,3,1,6.7,1,0
C-00039,Basic,annuale,10,5,4,2.2,8,0,4,22.2,1,0
C-00040,Pro,annuale,7,19,13,3.3,6,0,2,12.3,0,0
C-00041,Basic,mensile,45,4,3,3.6,6,1,5,11.8,0,0
C-00042,Pro,annuale,25,11,10,2.7,4,1,4,18.1,0,0
C-00043,Pro,annuale,16,32,12,1.2,4,3,3,14.4,1,0
C-00044,Basic,annuale,31,3,1,6.2,5,0,1,8.5,0,0
C-00045,Pro,annuale,40,6,6,3.5,4,1,3,17.5,0,0
C-00046,Pro,mensile,12,48,29,3.8,7,1,4,3.6,1,0
C-00047,Basic,mensile,24,4,3,2.6,6,1,2,6.7,0,0
C-00048,Basic,mensile,25,3,2,1.0,7,1,4,9.4,0,0
C-00049,Pro,mensile,51,7,3,3.1,4,1,1,13.9,1,0
C-00050,Basic,mensile,15,4,3,2.7,5,1,0,8.2,0,0
C-00051,Basic,annuale,10,8,6,4.2,7,2,3,3.4,1,0
C-00052,Basic,mensile,26,7,4,4.5,4,0,1,3.2,0,0
C-00053,Pro,mensile,33,50,18,4.3,4,1,2,9.6,0,0
C-00054,Pro,annuale,23,38,14,4.6,5,1,3,7.5,0,0
C-00055,Pro,mensile,54,26,4,5.7,4,1,2,5.8,0,0
C-00056,Pro,mensile,15,15,10,3.7,3,3,1,5.2,0,0
C-00057,Pro,annuale,23,17,5,4.7,5,2,3,10.8,0,0
C-00058,Pro,mensile,5,25,16,3.9,7,3,3,21.8,0,0
C-00059,Basic,mensile,9,2,2,0.5,3,0,2,10.8,0,1
C-00060,Basic,mensile,12,9,5,3.0,6,0,2,22.0,0,0
C-00061,Pro,annuale,17,15,12,2.0,6,2,0,8.0,0,0
C-00062,Pro,mensile,6,10,5,3.5,6,0,0,13.0,0,0
C-00063,Pro,mensile,31,10,5,2.1,5,0,2,22.5,0,0
C-00064,Pro,mensile,11,20,16,4.0,2,0,1,9.1,0,0
C-00065,Pro,mensile,77,22,20,4.6,3,1,1,10.2,2,0
C-00066,Pro,annuale,11,21,13,4.9,5,0,2,8.0,0,1
C-00067,Pro,mensile,21,36,18,5.5,9,2,3,14.3,1,0
C-00068,Basic,annuale,20,6,5,0.9,5,1,6,17.2,0,1
C-00069,Basic,mensile,8,6,4,1.5,5,0,3,12.3,0,0
C-00070,Basic,mensile,18,9,8,7.0,9,2,3,8.7,0,0
C-00071,Basic,annuale,17,3,2,4.6,7,1,4,4.1,0,0
C-00072,Basic,mensile,37,7,6,3.5,7,0,2,9.7,1,0
C-00073,Enterprise,mensile,27,54,40,3.2,5,1,3,8.9,1,0
C-00074,Basic,annuale,30,10,7,3.1,8,0,2,11.5,0,0
C-00075,Basic,mensile,37,3,3,0.5,6,0,3,10.7,0,0
C-00076,Basic,mensile,31,9,8,2.1,6,1,2,25.7,1,0
C-00077,Basic,annuale,24,7,6,3.0,7,1,1,6.6,1,0
C-00078,Pro,mensile,12,9,4,2.2,5,1,2,3.9,0,0
C-00079,Pro,mensile,23,18,13,2.4,8,3,1,5.0,0,0
C-00080,Pro,mensile,10,15,7,6.8,9,1,1,6.8,0,0
C-00081,Pro,mensile,19,14,12,2.8,6,3,2,19.1,0,0
C-00082,Basic,mensile,17,4,3,3.6,4,0,0,4.6,0,0
C-00083,Pro,annuale,18,7,6,3.5,7,0,2,5.0,0,0
C-00084,Basic,mensile,6,4,1,4.0,5,0,2,12.8,0,1
C-00085,Basic,annuale,1,6,4,2.5,6,1,1,16.6,0,0
C-00086,Basic,mensile,14,6,4,4.9,3,1,3,3.9,0,0
C-00087,Pro,mensile,43,5,4,3.8,7,2,2,3.5,0,0
C-00088,Pro,mensile,21,36,32,1.4,8,2,4,6.2,1,0
C-00089,Basic,annuale,40,4,3,3.0,3,2,1,14.8,0,0
C-00090,Pro,mensile,10,31,29,3.0,6,3,1,10.9,0,0
C-00091,Basic,mensile,14,10,9,2.9,7,3,2,6.4,0,0
C-00092,Pro,annuale,80,27,23,3.9,3,0,0,15.6,0,0
C-00093,Basic,annuale,10,5,4,4.1,4,3,3,10.8,0,0
C-00094,Basic,mensile,30,7,6,3.9,5,4,2,9.4,0,0
C-00095,Basic,annuale,30,8,3,3.7,7,2,1,3.8,0,0
C-00096,Pro,mensile,28,33,30,3.3,5,0,2,6.3,0,0
C-00097,Basic,mensile,30,6,4,0.2,4,1,2,32.4,0,1
C-00098,Basic,mensile,10,10,10,4.3,4,1,0,8.2,0,0
C-00099,Basic,mensile,15,9,6,3.9,5,2,4,5.6,0,0
C-00100,Enterprise,mensile,1,271,168,1.8,2,0,2,8.0,3,1
C-00101,Enterprise,annuale,52,70,53,3.6,6,1,0,10.7,0,0
C-00102,Pro,mensile,30,18,13,4.1,2,2,2,17.0,1,0
