id_pr,tipo,righe_aggiunte,righe_rimosse,file_modificati,moduli_toccati,complessita_media,test_aggiunti,copertura_modulo,esperienza_autore_mesi,commit_autore_modulo,reviewer,commenti_review,ora_merge,giorno_merge,bug_entro_30gg
1001,feature,57,46,5,2,10.3,1,82.1,6,0,1,2,17,Ven,1
1002,fix,353,53,9,2,4.3,1,35.0,38,10,1,2,21,Lun,1
1003,refactor,99,90,3,2,10.0,1,72.7,23,12,1,4,14,Mer,0
1004,fix,376,146,9,2,3.3,1,77.0,9,0,2,3,8,Ven,0
1005,feature,96,32,6,2,6.5,1,73.6,45,15,0,0,12,Gio,0
1006,feature,26,103,3,2,5.2,1,67.6,41,5,1,2,19,Ven,0
1007,feature,206,5,4,1,2.7,1,38.8,27,8,1,3,12,Mer,0
1008,feature,40,302,6,3,17.3,1,48.4,16,3,3,3,17,Lun,0
1009,fix,126,219,6,3,18.9,0,40.2,17,3,2,4,16,Ven,1
1010,feature,290,22,8,3,1.4,1,76.9,8,3,1,6,16,Ven,1
1011,refactor,179,15,8,3,16.5,0,50.3,8,4,2,3,16,Gio,1
1012,refactor,117,14,5,1,8.5,1,74.2,36,3,1,5,12,Mar,0
1013,feature,25,9,1,2,6.1,1,64.9,54,9,2,1,10,Mar,0
1014,fix,77,30,6,3,7.4,0,56.6,22,5,1,3,10,Mar,0
1015,feature,35,25,2,2,16.7,0,67.2,58,13,1,4,14,Mar,0
1016,refactor,350,36,10,2,22.7,1,26.1,45,13,1,0,17,Gio,0
1017,refactor,149,7,7,3,4.6,0,76.8,15,4,1,4,17,Gio,0
1018,feature,206,12,5,1,8.5,1,54.1,41,10,1,4,8,Mar,0
1019,feature,271,3,8,2,1.7,1,81.5,12,2,2,3,10,Lun,0
1020,refactor,128,15,3,2,5.5,1,77.6,13,1,1,0,14,Gio,0
1021,feature,49,13,5,1,4.5,0,52.9,21,7,1,1,8,Mar,0
1022,feature,73,34,3,2,13.8,1,59.6,28,3,1,4,16,Gio,0
1023,feature,73,18,3,1,6.3,0,75.3,18,4,2,7,15,Mar,0
1024,fix,38,49,7,3,8.3,1,38.3,59,14,1,4,9,Gio,0
1025,refactor,93,58,5,2,10.6,1,58.0,22,7,3,3,16,Mar,1
1026,refactor,33,21,3,1,6.6,1,64.1,42,12,1,1,9,Lun,0
1027,refactor,91,75,4,2,7.0,0,88.8,24,6,1,7,11,Ven,0
1028,feature,59,36,4,2,4.2,0,67.2,9,1,2,6,11,Gio,0
1029,feature,79,89,3,2,6.1,1,51.4,45,18,1,7,21,Ven,1
1030,feature,1117,69,21,6,4.5,0,40.4,65,17,3,5,12,Mer,0
1031,refactor,50,7,3,1,9.3,0,69.7,18,6,1,3,12,Gio,0
1032,feature,209,4,5,1,6.4,1,55.4,14,4,3,6,0,Gio,0
1033,fix,22,26,3,2,10.5,1,42.5,15,2,1,4,16,Lun,1
1034,feature,136,19,4,2,11.3,1,86.6,46,8,0,0,11,Mer,0
1035,fix,205,26,5,1,15.6,1,96.0,7,1,1,5,13,Lun,0
1036,feature,107,63,4,2,17.5,1,67.4,13,6,3,4,12,Mar,0
1037,fix,75,46,3,1,7.3,1,63.0,12,4,2,2,11,Ven,0
1038,refactor,142,49,3,2,14.4,0,31.2,4,0,1,2,16,Ven,1
1039,fix,265,4,5,2,14.7,0,69.9,31,9,1,1,12,Lun,0
1040,fix,1211,6,21,6,10.1,1,59.7,23,6,1,2,8,Lun,0
1041,feature,22,35,2,2,10.7,0,23.4,6,1,1,5,9,Mar,0
1042,refactor,122,27,5,1,7.4,1,68.5,7,4,1,1,14,Lun,0
1043,feature,337,148,13,4,6.8,1,86.5,34,8,1,2,1,Ven,0
1044,feature,189,3,6,2,3.4,1,73.0,62,32,2,5,10,Gio,0
1045,fix,432,43,11,3,8.0,1,58.9,4,1,2,5,10,Mer,1
1046,fix,325,2,9,2,1.8,1,81.4,71,20,2,3,14,Ven,0
1047,feature,91,267,10,3,7.0,1,43.7,29,14,2,4,14,Gio,0
1048,fix,88,57,2,2,6.4,0,69.5,18,3,2,1,10,Mar,0
1049,feature,22,109,4,2,6.3,0,54.6,32,5,1,6,13,Mer,0
1050,feature,39,18,3,2,9.8,0,74.5,7,0,1,3,17,Ven,0
1051,refactor,40,21,3,1,3.0,0,85.1,9,5,1,4,14,Lun,0
1052,fix,484,7,9,3,10.4,1,70.8,22,8,3,4,16,Lun,0
1053,fix,219,12,5,2,4.1,1,69.9,52,19,2,4,18,Gio,0
1054,fix,32,118,3,1,12.2,1,56.4,32,6,2,3,19,Ven,0
1055,refactor,97,69,5,1,7.0,0,60.5,56,9,1,4,13,Mar,0
1056,refactor,83,29,6,2,12.9,1,72.6,14,1,1,4,18,Mar,0
1057,fix,56,44,4,2,8.2,0,61.7,69,18,1,3,14,Mar,0
1058,fix,36,24,1,2,5.9,0,81.7,26,7,2,1,15,Mar,0
1059,feature,36,18,4,2,8.1,0,58.4,9,1,3,6,15,Mer,0
1060,feature,643,10,12,4,17.5,0,75.6,103,20,1,3,11,Gio,0
1061,fix,11,45,5,2,26.1,0,65.1,10,3,1,0,14,Ven,0
1062,feature,11,14,1,1,5.6,1,78.0,13,3,2,1,18,Mar,0
1063,refactor,509,60,11,4,4.3,1,69.8,62,11,3,2,17,Mar,0
1064,fix,100,38,5,1,3.2,0,57.9,32,9,0,1,15,Gio,0
1065,refactor,60,81,5,1,11.6,1,70.9,13,4,1,2,11,Mer,0
1066,feature,167,2,3,2,12.4,0,77.9,15,2,1,3,11,Ven,0
1067,feature,39,105,4,1,15.0,0,66.2,13,2,2,2,10,Lun,0
1068,feature,63,12,4,2,4.5,1,62.5,30,8,3,3,12,Ven,0
1069,feature,12,41,3,2,11.9,1,38.4,13,4,1,3,15,Mer,0
1070,fix,13,76,2,1,9.3,1,36.1,12,6,1,5,10,Mar,0
1071,feature,358,13,7,3,5.7,0,44.1,19,3,1,1,17,Gio,0
1072,refactor,274,12,7,3,10.7,0,81.7,17,4,1,4,12,Lun,0
1073,fix,68,330,10,3,6.2,0,72.6,5,3,2,6,3,Mer,1
1074,feature,46,23,1,2,15.7,1,50.4,33,6,3,7,21,Mer,0
1075,feature,208,22,4,1,8.0,0,29.5,15,2,2,2,14,Mar,0
1076,feature,157,16,4,2,7.1,0,61.6,69,18,2,0,9,Gio,0
1077,fix,87,55,5,2,7.1,0,68.2,7,1,1,3,22,Gio,1
1078,feature,80,6,2,1,8.1,1,47.2,3,1,1,3,22,Mar,0
1079,fix,30,3,2,2,1.8,1,54.4,21,10,2,5,16,Lun,0
1080,feature,72,46,4,2,5.2,0,90.3,3,0,1,6,10,Lun,0
1081,feature,64,75,3,1,6.8,0,78.6,91,24,1,3,12,Mer,0
1082,fix,55,192,5,2,9.1,1,59.3,26,4,1,5,10,Gio,0
1083,feature,27,60,4,2,8.7,0,89.4,34,6,2,4,11,Lun,0
1084,feature,197,20,7,2,8.6,0,57.1,53,8,1,5,14,Lun,0
1085,feature,29,40,1,2,8.4,0,48.4,14,1,0,0,19,Gio,0
1086,fix,60,23,3,2,3.3,1,53.6,37,7,1,4,20,Mer,0
1087,fix,169,181,9,3,8.2,1,80.8,11,3,1,6,8,Gio,1
1088,refactor,98,17,4,2,2.5,1,90.0,28,11,2,4,11,Lun,0
1089,refactor,263,169,10,2,9.9,0,64.3,48,16,3,5,10,Ven,0
1090,feature,358,64,9,3,5.8,1,53.6,53,11,1,2,18,Gio,0
1091,refactor,512,16,9,2,14.8,1,43.3,98,15,1,5,14,Mer,0
1092,feature,101,48,2,2,9.5,0,43.9,59,11,1,2,19,Ven,0
1093,feature,61,41,6,3,3.7,1,49.4,52,13,2,5,17,Mer,0
1094,feature,67,40,3,2,16.4,1,51.2,44,10,1,8,14,Mer,0
1095,feature,51,13,1,1,11.2,1,53.3,66,21,3,6,10,Mar,0
1096,fix,32,31,2,2,1.3,0,82.6,50,11,2,5,17,Ven,0
1097,feature,500,20,10,2,5.3,1,35.5,24,5,2,5,16,Mar,0
1098,feature,142,82,4,1,8.6,1,60.7,53,16,1,3,15,Mer,0
1099,feature,360,6,8,2,8.6,1,20.5,7,2,1,7,17,Lun,0
1100,feature,437,99,9,2,8.5,0,59.5,7,3,2,1,12,Mar,1
1101,refactor,53,4,2,2,11.2,0,72.5,25,7,2,7,10,Ven,0
1102,refactor,70,78,2,1,14.2,1,76.2,18,6,1,1,15,Mer,0
1103,refactor,27,50,5,2,6.2,1,62.7,15,3,1,4,21,Mar,0
1104,feature,78,114,3,2,8.2,0,47.8,41,9,1,5,11,Mar,0
1105,feature,35,12,1,2,7.9,0,49.3,110,21,2,3,11,Mar,0
1106,fix,1475,10,31,7,5.2,1,50.7,28,7,1,3,11,Mar,1
1107,feature,99,111,7,2,2.8,1,84.1,35,14,2,7,14,Lun,0
1108,feature,27,8,4,2,7.7,1,74.6,41,10,2,5,17,Lun,0
1109,refactor,84,47,4,1,2.6,0,83.0,8,3,1,7,12,Gio,1
1110,feature,268,43,6,3,8.0,1,77.6,44,17,2,2,8,Ven,0
1111,fix,133,8,5,1,7.6,1,63.3,33,10,1,3,16,Ven,0
1112,fix,8,491,9,3,6.4,1,59.6,25,8,1,7,17,Mar,0
1113,feature,1388,28,27,7,11.5,1,78.9,47,9,2,4,10,Ven,0
1114,refactor,151,49,5,2,10.3,1,89.2,17,7,1,3,16,Mer,0
1115,fix,49,35,1,1,13.9,1,76.4,47,15,2,5,17,Lun,0
1116,feature,37,101,6,3,11.7,0,64.0,10,1,2,1,15,Gio,0
1117,refactor,43,10,1,1,5.2,1,65.5,6,1,1,3,14,Lun,0
1118,refactor,69,34,4,2,15.6,1,53.5,51,14,2,4,17,Mar,0
1119,refactor,189,51,4,1,9.2,1,60.3,8,1,0,1,14,Lun,0
1120,fix,195,39,5,2,5.0,1,72.4,11,2,2,11,11,Ven,0
1121,fix,121,31,6,3,1.8,1,61.9,22,4,1,5,11,Gio,0
1122,feature,46,139,5,1,4.7,1,59.2,16,1,1,5,16,Mer,0
1123,feature,313,126,9,3,6.0,1,62.6,33,9,1,10,17,Gio,0
1124,feature,114,8,4,2,10.3,0,34.6,57,13,1,5,11,Mar,0
1125,refactor,73,29,4,1,8.6,0,38.9,6,2,1,3,11,Mar,0
1126,feature,5,11,2,2,9.8,1,42.8,5,1,2,3,9,Lun,0
1127,feature,117,16,5,2,9.5,1,47.9,7,4,2,4,14,Mer,0
1128,fix,188,20,4,2,5.4,0,54.8,20,6,1,4,8,Gio,0
1129,fix,239,67,6,3,6.8,1,78.4,40,4,1,3,14,Gio,0
1130,feature,19,51,2,1,13.5,1,64.8,18,5,1,3,20,Ven,0
1131,feature,112,74,4,1,4.1,1,44.1,31,8,2,4,19,Mer,0
1132,fix,72,20,5,2,11.0,1,63.2,13,2,2,2,15,Mar,0
1133,feature,82,33,3,2,12.8,0,78.6,55,14,2,6,15,Mer,0
1134,fix,74,18,2,1,14.9,1,67.1,27,9,1,3,10,Ven,1
1135,feature,80,21,2,2,5.0,1,79.4,48,15,2,1,10,Ven,0
