id_ticket,canale,tipo_cliente,componente_indicato,priorita_dichiarata,stack_trace,allegati,lunghezza_descrizione,parole_errore,parole_richiesta,punti_interrogativi,utenti_segnalanti,ora_apertura,categoria
T-00001,email,Free,Mobile,Alta,0,1,1214,0,0,0,1,11,Bug
T-00002,telefono,Free,Account,Media,1,2,311,2,1,0,2,17,Bug
T-00003,email,Business,Nessuno,Media,0,0,183,0,3,1,1,15,Richiesta
T-00004,form,Free,Backend,Alta,1,0,317,3,1,0,9,11,Incidente
T-00005,form,Business,Frontend,Bassa,1,1,723,6,0,0,1,12,Bug
T-00006,chat,Free,Nessuno,Media,0,0,367,1,0,1,1,17,Domanda
T-00007,email,Business,Frontend,Media,1,2,1390,0,0,0,1,14,Bug
T-00008,chat,Business,Mobile,Media,1,2,719,2,0,0,1,8,Bug
T-00009,chat,Free,Mobile,Bassa,0,1,248,0,0,2,1,14,Domanda
T-00010,email,Business,Nessuno,Bassa,0,1,818,0,3,0,1,15,Richiesta
T-00011,form,Enterprise,Backend,Media,1,2,1081,1,0,0,1,21,Incidente
T-00012,chat,Business,Nessuno,Bassa,0,1,258,0,1,1,1,13,Richiesta
T-00013,form,Enterprise,API,Urgente,0,2,516,0,0,0,10,9,Incidente
T-00014,email,Business,Backend,Urgente,1,3,295,1,1,1,8,5,Incidente
T-00015,chat,Free,Account,Media,0,0,142,0,0,3,1,7,Domanda
T-00016,form,Free,Mobile,Alta,0,1,356,2,0,0,2,9,Bug
T-00017,chat,Free,Fatturazione,Media,0,0,237,0,0,4,1,9,Domanda
T-00018,telefono,Enterprise,Nessuno,Urgente,0,0,212,10,1,0,4,12,Incidente
T-00019,form,Business,Fatturazione,Bassa,0,1,1877,0,1,1,1,13,Richiesta
T-00020,email,Business,Frontend,Media,0,0,1016,3,1,0,2,18,Bug
T-00021,email,Business,Backend,Media,0,2,649,5,0,1,2,16,Bug
T-00022,email,Business,Nessuno,Bassa,0,0,315,0,0,5,1,13,Domanda
T-00023,form,Free,API,Media,1,0,437,5,0,0,1,14,Bug
T-00024,email,Business,Frontend,Bassa,0,0,284,1,4,2,1,11,Richiesta
T-00025,telefono,Enterprise,API,Media,1,0,372,5,0,0,1,13,Bug
T-00026,form,Free,Backend,Media,1,2,229,5,0,0,3,15,Bug
T-00027,email,Business,API,Media,1,1,557,2,2,0,8,22,Incidente
T-00028,form,Business,Frontend,Alta,0,0,1128,2,0,1,2,15,Bug
T-00029,form,Free,Fatturazione,Media,0,0,120,0,0,6,1,15,Domanda
T-00030,chat,Enterprise,Frontend,Bassa,0,0,222,1,1,1,1,13,Domanda
T-00031,chat,Free,Backend,Media,1,2,1351,4,0,1,1,17,Bug
T-00032,form,Business,Backend,Bassa,0,1,695,2,2,0,2,13,Bug
T-00033,email,Business,Account,Bassa,0,0,220,0,1,5,1,15,Domanda
T-00034,chat,Free,Account,Alta,0,1,619,1,2,0,1,9,Richiesta
T-00035,email,Enterprise,Backend,Media,1,1,1000,0,1,0,2,13,Bug
T-00036,form,Business,Frontend,Bassa,0,2,472,1,0,1,1,10,Bug
T-00037,email,Business,API,Urgente,0,1,469,3,1,2,5,10,Incidente
T-00038,email,Business,Frontend,Bassa,0,1,708,0,5,1,1,11,Richiesta
T-00039,email,Enterprise,Nessuno,Media,0,0,227,0,2,0,1,15,Richiesta
T-00040,form,Free,Backend,Media,0,2,1376,3,0,0,1,11,Bug
T-00041,telefono,Business,Backend,Alta,0,0,622,5,0,1,6,21,Incidente
T-00042,form,Free,Fatturazione,Media,1,1,987,4,3,2,1,11,Bug
T-00043,chat,Free,Account,Bassa,0,0,132,0,0,2,2,11,Domanda
T-00044,telefono,Business,Backend,Urgente,0,1,420,4,0,0,19,19,Incidente
T-00045,email,Business,Mobile,Media,1,2,195,0,0,0,2,16,Bug
T-00046,telefono,Business,API,Alta,0,1,647,4,0,1,11,9,Incidente
T-00047,email,Free,Nessuno,Media,0,0,306,1,0,2,1,16,Domanda
T-00048,form,Business,Mobile,Bassa,0,0,709,1,4,1,1,19,Richiesta
T-00049,chat,Free,Frontend,Media,0,1,171,0,1,3,1,12,Domanda
T-00050,form,Enterprise,Mobile,Bassa,0,0,1219,3,0,1,1,15,Bug
