Module,LOC,CyclomaticComplexity,FanIn,FanOut,Commits_6m,Bugs_6m,TestCoverage
BatchModule_034,806,13,25,4,8,2,92
BillingService_048,2817,20,7,10,31,6,79
AnalyticsManager_003,501,13,19,3,1,3,87
AuthService_019,1009,13,16,5,8,0,86
PricingController_086,5835,60,56,42,59,9,71
ConfigHandler_050,1587,23,21,11,32,1,81
AuditHandler_152,6456,59,12,40,128,20,31
SchedulerEngine_142,6693,69,28,48,102,16,44
CacheEngine_129,8438,69,9,49,85,24,29
SchedulerService_139,7224,95,33,46,99,23,27
CacheController_071,1992,26,17,11,48,6,72
SchedulerController_147,5652,59,27,39,126,18,30
ExportEngine_079,2076,27,12,8,42,5,72
MessagingManager_134,5543,74,19,46,97,15,40
UserProfileController_141,6459,56,17,60,108,20,37
ReportingHandler_080,1050,25,23,15,23,4,73
AnalyticsEngine_047,1714,30,16,17,43,6,67
ImportModule_090,4600,67,25,30,53,15,69
BillingService_027,618,6,32,4,11,4,93
AnalyticsHandler_077,2295,26,22,7,20,7,85
UserProfileHandler_057,1564,17,16,16,51,5,75
UserProfileController_040,998,7,15,5,9,0,87
LoggingService_107,4575,57,39,31,34,8,65
ConfigModule_153,4240,49,24,49,91,17,47
APIController_045,1980,19,16,12,44,7,77
PricingManager_032,628,9,24,7,16,2,94
ProductsController_110,3703,43,32,25,55,6,72
MessagingHandler_010,466,11,25,7,11,0,87
ExportManager_056,1906,26,14,15,32,2,70
ReportingHandler_135,8424,95,12,45,82,27,30
MonitoringEngine_067,2900,24,15,12,19,2,76
SchedulerService_131,5499,51,15,30,116,19,47
NotificationsController_092,5562,44,48,32,45,11,57
PricingEngine_122,6124,70,14,36,97,26,12
AnalyticsHandler_158,6054,69,31,42,90,22,36
BatchEngine_046,2110,25,10,13,49,3,72
ConfigManager_109,5430,45,47,23,60,9,55
AuditHandler_154,7382,77,21,43,92,23,31
ConfigService_004,728,11,23,8,16,1,81
GatewayHandler_100,3439,43,36,24,47,5,65
APIController_072,2571,20,21,13,51,3,82
ReportingManager_053,2543,29,10,18,31,4,79
DocumentsHandler_103,6477,41,41,30,42,6,65
NotificationsHandler_088,3508,58,51,28,52,7,73
AnalyticsController_108,5612,55,48,40,32,14,53
SchedulerManager_020,664,13,34,6,14,3,89
NotificationsEngine_022,471,11,17,6,13,0,85
MessagingEngine_082,4276,52,44,35,31,13,62
PricingManager_049,1532,23,20,9,39,8,69
NotificationsHandler_029,454,10,29,5,17,3,91
GatewayHandler_081,4209,61,33,30,47,5,63
PermissionsModule_111,4688,66,41,33,50,14,62
LoggingEngine_017,659,12,12,6,16,0,90
CacheService_001,351,6,17,7,15,2,83
ImportController_016,722,11,28,6,13,1,90
RecommendationsHandler_159,5397,70,31,38,82,28,38
SecurityService_031,935,7,27,5,6,3,85
PricingService_009,937,6,16,6,4,0,90
ReportingModule_112,3468,49,36,31,27,13,53
MonitoringService_007,889,8,13,8,12,0,85
ProductsService_076,1958,32,14,15,35,8,84
PaymentsController_126,6260,80,21,33,86,19,15
UserProfileHandler_006,565,9,18,8,13,2,87
WorkflowHandler_117,4564,53,53,29,47,11,65
ReportingHandler_151,5731,69,10,31,88,19,30
PermissionsManager_150,4314,62,22,50,101,18,17
WorkflowManager_102,3279,42,46,40,45,6,57
UserProfileHandler_091,4487,48,32,25,68,9,64
ProductsController_119,3583,59,29,36,64,12,53
PermissionsEngine_044,1966,31,14,13,39,6,78
AuthController_094,4251,39,38,24,32,8,60
AnalyticsEngine_098,4579,57,36,29,43,14,62
ReportingService_033,460,8,25,5,14,0,87
SchedulerManager_087,5218,57,42,37,58,9,59
PermissionsEngine_156,5024,74,22,50,74,22,16
CustomersEngine_155,6368,82,24,46,58,22,41
OrdersManager_015,342,8,23,2,12,1,82
AuditHandler_025,716,10,22,8,9,3,84
CustomersHandler_035,977,10,24,5,15,1,83
BatchModule_149,6846,63,14,58,88,27,29
UserProfileEngine_065,1921,24,23,16,36,1,68
ProductsEngine_018,523,9,28,3,12,3,82
APIManager_124,7924,73,19,40,90,15,29
BillingEngine_068,1358,18,11,16,42,7,65
UserProfileManager_146,6559,67,16,49,92,21,37
ExportModule_115,3923,46,35,30,51,10,67
PermissionsManager_059,1958,22,12,8,47,4,83
SearchManager_116,5363,57,51,38,53,11,52
ProductsHandler_043,1614,20,14,13,30,6,71
PricingService_137,6338,73,19,45,78,15,41
CacheHandler_078,2591,23,19,18,23,6,73
PermissionsModule_073,3143,24,11,14,34,3,78
ConfigEngine_039,653,6,24,8,16,2,96
UserProfileManager_130,7239,63,25,42,104,23,41
UserProfileManager_101,3755,44,33,31,47,11,62
ImportManager_160,6296,90,24,38,97,22,39
BatchEngine_096,3564,34,42,23,56,9,61
OrdersModule_024,544,7,30,8,12,1,86
BillingController_064,2423,25,21,19,36,5,73
PermissionsService_051,1809,22,15,14,27,8,86
MessagingHandler_128,4580,91,11,43,96,32,23
ProductsController_104,5456,36,28,31,53,9,63
PaymentsManager_054,2433,21,22,15,33,0,89
PaymentsHandler_023,825,7,20,6,23,2,93
OrdersController_005,943,8,21,7,13,1,88
AuditService_093,4284,70,57,32,60,8,72
NotificationsModule_095,3387,57,50,32,47,13,51
BillingController_069,2016,24,16,13,20,3,74
AuthController_030,838,8,30,7,15,0,86
AuthEngine_157,5566,59,24,41,107,27,35
ImportHandler_133,6109,89,21,49,101,17,34
BatchModule_012,999,11,21,3,14,5,92
OrdersService_099,4652,58,37,25,41,14,59
ProductsController_008,844,9,25,5,17,1,99
RecommendationsController_083,5048,48,43,33,60,11,63
ExportService_118,5147,50,37,29,40,6,73
ImportHandler_042,1655,21,19,11,34,8,69
ExportEngine_037,880,13,25,6,10,4,93
ExportManager_097,4698,54,29,35,58,11,66
LoggingService_132,7506,70,13,40,119,23,35
SchedulerService_127,4728,85,22,28,93,17,26
BillingService_143,6168,66,14,54,83,27,28
BatchEngine_061,1741,23,16,14,22,7,66
WorkflowHandler_125,5636,59,10,53,92,24,35
AuditModule_113,4813,51,41,36,62,9,68
InventoryController_120,5721,61,48,26,52,10,66
SearchEngine_084,3315,45,30,39,37,7,59
LoggingEngine_105,3738,54,42,32,51,8,76
MonitoringHandler_041,2639,23,23,13,25,6,73
AuthModule_002,534,10,22,4,7,3,80
AnalyticsModule_145,4249,82,12,54,113,18,26
InventoryManager_140,6141,59,15,34,111,12,37
SearchHandler_121,7103,66,16,55,99,26,18
LoggingModule_085,4801,45,31,39,65,15,53
PricingManager_106,4316,39,40,31,36,8,56
PaymentsHandler_026,623,10,28,6,4,3,79
PaymentsModule_014,851,10,25,5,15,0,93
ProductsModule_060,2815,17,13,14,29,5,79
AuthHandler_058,2036,19,25,14,39,4,80
BillingController_136,4457,78,18,40,94,21,37
PermissionsService_013,437,8,13,7,18,0,89
OrdersHandler_063,1645,18,21,14,42,3,70
NotificationsController_062,2058,17,15,15,42,2,73
BillingManager_028,745,6,15,5,16,1,94
PermissionsManager_036,656,12,19,4,18,1,84
CustomersManager_148,5974,59,11,54,106,20,48
ReportingController_144,6502,77,12,45,90,24,18
CacheModule_070,2436,26,14,6,39,3,87
ReportingHandler_138,5965,97,17,53,95,17,39
WorkflowController_052,1918,26,25,11,46,3,74
ImportModule_055,2361,26,18,13,38,2,70
BatchService_123,6809,74,13,32,82,21,31
PricingHandler_066,2479,24,20,10,35,4,75
BillingEngine_114,3706,62,37,35,52,8,58
CustomersController_089,5954,42,39,34,55,13,58
UserProfileService_021,846,5,23,6,12,2,96
PermissionsEngine_074,1646,26,8,16,34,7,73
DocumentsManager_011,1082,12,22,3,19,2,91
ProductsEngine_075,2880,18,25,12,29,6,69
RecommendationsController_038,495,5,33,6,13,2,91
