id_build,righe_modificate,file_modificati,moduli_toccati,numero_test,cache_hit,ora_giorno,giorno_settimana,runner,trigger,durata_minuti
10001,161,4,2,950,1,15,Mar,small,push,16.08
10002,132,5,2,1015,1,16,Lun,medium,push,12.1
10003,44,2,1,503,1,17,Lun,large,push,3.2
10004,256,9,3,1530,1,15,Mar,medium,push,12.2
10005,240,7,2,894,1,14,Ven,small,push,9.6
10006,72,4,1,837,0,10,Lun,medium,pull_request,11.78
10007,214,6,2,1144,1,12,Lun,small,pull_request,11.54
10008,56,5,2,859,1,8,Mer,medium,push,7.36
10009,60,9,2,860,1,16,Ven,medium,schedule,8.32
10010,281,9,2,877,0,22,Lun,medium,schedule,9.97
10011,193,6,2,1151,1,9,Gio,large,pull_request,6.08
10012,93,2,1,504,1,13,Lun,small,pull_request,6.41
10013,82,3,2,1072,0,16,Lun,medium,pull_request,15.38
10014,145,5,1,806,1,5,Ven,medium,push,5.95
10015,16,4,1,595,0,13,Gio,medium,push,7.59
10016,52,4,2,1053,1,17,Mer,large,push,4.32
10017,30,7,3,1220,0,11,Lun,medium,push,15.08
10018,122,3,2,1213,1,15,Mer,small,schedule,16.69
10019,397,11,3,1415,1,15,Lun,medium,schedule,12.81
10020,203,5,2,1109,0,16,Mar,medium,pull_request,14.53
10021,68,4,2,923,1,10,Gio,large,pull_request,5.53
10022,55,3,2,1085,1,10,Mer,medium,schedule,10.17
10023,52,1,1,735,1,3,Gio,medium,pull_request,4.58
10024,1083,30,5,1922,1,13,Lun,medium,push,14.16
10025,129,6,2,1039,1,10,Gio,medium,schedule,8.36
10026,149,5,2,864,1,15,Ven,large,pull_request,6.02
10027,12,3,1,727,1,14,Ven,medium,push,6.96
10028,33,3,1,844,0,17,Lun,medium,push,9.63
10029,114,4,1,821,1,17,Lun,medium,pull_request,5.07
10030,69,5,2,1033,1,11,Mer,small,push,15.65
10031,139,5,2,1178,1,11,Mer,medium,pull_request,12.38
10032,137,5,1,871,0,8,Ven,small,pull_request,11.46
10033,232,9,3,1363,0,16,Mar,large,push,12.8
10034,15,3,1,598,1,14,Mer,medium,push,4.9
10035,36,3,1,536,0,11,Lun,small,pull_request,10.29
10036,108,6,2,1083,1,16,Ven,medium,push,8.86
10037,59,6,2,961,1,11,Lun,large,pull_request,6.97
10038,85,6,2,1048,1,13,Ven,small,schedule,10.34
10039,135,4,1,833,0,13,Ven,small,pull_request,9.63
10040,53,4,2,849,0,11,Lun,medium,push,9.7
10041,148,5,2,948,1,17,Gio,medium,pull_request,7.24
10042,218,6,2,1026,1,16,Mar,small,schedule,11.74
10043,129,7,3,1464,1,14,Mar,medium,schedule,10.63
10044,265,7,2,1202,1,16,Mar,medium,push,12.42
10045,11,2,2,1156,1,9,Ven,large,push,6.29
10046,63,3,1,657,0,12,Mar,large,pull_request,7.42
10047,320,10,3,1386,1,15,Mar,small,push,17.93
10048,46,3,1,661,1,12,Mer,medium,pull_request,7.07
10049,40,2,2,858,0,16,Mar,medium,pull_request,11.01
10050,104,3,1,757,1,14,Lun,medium,schedule,5.66
10051,118,6,2,1150,1,12,Lun,small,push,11.26
10052,67,2,1,794,1,12,Lun,medium,pull_request,6.13
10053,912,25,6,2364,0,16,Mer,large,pull_request,17.62
10054,164,4,1,814,1,8,Gio,small,pull_request,7.37
10055,44,1,2,907,1,17,Gio,small,push,8.39
10056,25,2,2,993,1,8,Lun,medium,push,8.55
10057,187,8,3,1293,0,9,Gio,large,pull_request,9.18
10058,43,3,1,627,1,17,Mar,medium,pull_request,7.0
10059,1281,32,7,2937,1,12,Lun,small,pull_request,24.95
10060,192,5,1,653,0,13,Ven,large,push,4.68
10061,222,6,2,1108,1,12,Gio,medium,push,6.66
10062,158,5,1,861,1,9,Mer,medium,push,7.44
10063,412,12,3,1228,1,15,Lun,small,pull_request,14.11
10064,9,1,2,1175,1,16,Lun,small,pull_request,13.63
10065,32,3,1,520,0,10,Mer,medium,push,8.24
10066,374,9,2,1061,0,16,Ven,large,push,7.05
10067,625,18,4,1697,1,9,Gio,medium,push,13.23
10068,31,4,2,921,1,16,Lun,large,push,7.1
10069,16,1,1,722,1,16,Gio,medium,push,7.36
10070,144,9,3,1543,1,18,Mar,medium,schedule,9.79
10071,205,11,2,852,1,17,Lun,medium,push,6.96
10072,141,7,3,1233,0,17,Gio,medium,push,13.86
10073,112,6,2,1004,1,20,Mer,small,pull_request,10.42
10074,16,3,2,863,1,17,Gio,large,schedule,4.71
10075,79,4,2,954,1,17,Lun,small,pull_request,9.04
10076,94,5,2,971,0,10,Lun,large,push,5.24
10077,66,2,2,989,1,16,Mer,large,push,7.49
10078,15,1,1,739,0,15,Mer,small,push,12.26
10079,228,6,2,997,1,20,Mer,small,push,9.25
10080,311,14,4,1554,1,16,Gio,medium,pull_request,18.54
10081,50,6,2,1071,1,10,Gio,medium,pull_request,10.05
10082,98,3,1,591,0,10,Gio,medium,push,8.14
10083,69,3,1,480,1,11,Lun,small,pull_request,9.96
10084,70,2,1,795,1,13,Mar,large,pull_request,4.43
10085,206,5,1,646,0,15,Mer,medium,pull_request,9.48
10086,212,11,3,1437,1,10,Mer,medium,push,11.01
10087,391,11,3,1424,1,10,Mar,large,schedule,9.59
10088,383,13,4,1561,1,11,Ven,medium,push,15.74
10089,99,2,1,803,1,17,Lun,medium,push,5.53
10090,2735,69,12,4390,0,11,Ven,large,push,25.69
10091,660,19,4,1826,1,8,Gio,large,pull_request,9.91
10092,58,2,1,760,1,14,Mer,large,schedule,4.5
10093,138,4,2,875,1,1,Lun,large,push,5.54
10094,14,3,1,524,0,15,Mer,small,push,11.02
10095,124,5,2,1169,1,17,Lun,large,schedule,6.45
10096,756,20,5,1866,1,10,Ven,large,pull_request,10.44
10097,2558,65,12,4397,0,17,Mar,medium,schedule,37.49
10098,105,7,3,1579,0,16,Mar,medium,pull_request,13.19
10099,173,8,2,857,1,9,Gio,medium,pull_request,8.28
10100,234,8,2,1066,1,10,Lun,medium,push,9.66
10101,1059,28,6,2370,0,10,Mer,small,push,37.93
10102,41,4,1,645,1,10,Gio,medium,pull_request,7.23
10103,2227,59,11,4024,0,11,Lun,medium,push,42.55
10104,85,6,1,695,1,18,Lun,medium,push,6.4
10105,33,3,2,946,1,10,Mer,large,pull_request,7.92
10106,85,3,2,1067,1,19,Mer,small,push,12.26
10107,49,2,1,778,1,14,Mer,large,pull_request,3.19
10108,190,5,2,1017,1,14,Mar,medium,push,7.67
10109,19,1,2,823,1,15,Mar,large,pull_request,5.92
10110,140,8,3,1454,0,17,Mar,small,push,20.25
10111,249,8,2,1018,1,20,Mar,small,pull_request,9.85
10112,613,18,4,1802,1,0,Mer,medium,push,10.37
10113,254,8,2,1137,1,12,Mar,medium,push,9.14
10114,573,15,3,1251,1,10,Mer,medium,push,11.89
10115,62,6,2,848,1,9,Lun,medium,push,6.16
10116,185,10,2,999,1,9,Gio,medium,pull_request,7.19
10117,10,4,1,822,1,16,Lun,large,push,4.24
10118,106,4,1,592,1,7,Lun,medium,pull_request,5.47
10119,184,9,3,1352,1,17,Gio,small,push,12.45
10120,203,6,2,1146,0,16,Sab,large,pull_request,7.6
10121,21,2,2,1122,1,12,Dom,medium,pull_request,7.43
10122,78,4,2,1119,1,12,Mer,medium,push,7.77
10123,91,5,1,832,1,15,Mar,medium,push,7.18
10124,75,5,2,1157,1,2,Ven,small,push,10.59
10125,266,8,2,886,0,12,Gio,medium,push,7.83
10126,95,2,1,661,0,10,Sab,small,push,11.36
10127,134,4,2,1113,0,10,Mer,small,schedule,16.9
10128,70,6,2,1046,0,14,Mer,medium,push,6.91
10129,387,11,2,875,0,10,Lun,small,pull_request,13.2
10130,420,13,3,1456,1,12,Lun,large,schedule,8.2
10131,85,5,1,548,1,16,Gio,large,push,4.47
10132,2760,71,12,4454,1,15,Dom,small,pull_request,41.08
10133,52,3,1,857,0,11,Mer,medium,schedule,9.4
10134,363,11,2,1216,0,7,Lun,medium,push,11.51
10135,42,4,1,479,0,5,Mar,small,pull_request,10.87
10136,281,10,2,965,0,13,Lun,small,pull_request,14.36
10137,258,7,2,954,0,12,Ven,medium,pull_request,9.94
10138,39,2,1,693,1,17,Lun,small,pull_request,7.18
10139,104,5,2,1161,1,8,Lun,large,push,4.4
10140,936,24,4,1865,0,17,Mer,medium,push,17.9
10141,49,2,2,862,1,10,Mer,medium,pull_request,9.23
10142,187,6,2,1118,1,11,Gio,large,push,8.15
10143,174,6,1,483,1,17,Mar,small,pull_request,9.14
