mese,indice_mese,servizio,utenti_attivi,richieste_api_milioni,dati_gb,deploy,costo_euro
2022-09,1,api-core,21542,9.87,255.9,12,2202.72
2022-10,2,api-core,23187,9.63,260.4,5,1918.39
2022-11,3,api-core,24055,10.28,263.0,8,2024.97
2022-12,4,api-core,23829,11.5,267.0,7,2093.85
2023-01,5,api-core,22060,10.31,270.7,6,1937.56
2023-02,6,api-core,24659,10.57,273.8,9,2029.31
2023-03,7,api-core,26174,12.01,275.4,10,2236.46
2023-04,8,api-core,26357,11.17,281.5,10,2228.87
2023-05,9,api-core,27353,11.94,283.5,17,2248.56
2023-06,10,api-core,28320,12.0,286.1,11,2316.23
2023-07,11,api-core,26108,11.83,295.0,9,2105.86
2023-08,12,api-core,24370,12.23,298.7,3,1994.44
2023-09,13,api-core,31932,14.44,304.3,16,2495.96
2023-10,14,api-core,36230,15.54,308.6,3,3510.15
2023-11,15,api-core,36258,15.94,316.0,13,2197.02
2023-12,16,api-core,31410,15.02,320.6,7,2129.69
2024-01,17,api-core,31653,11.52,327.1,10,2389.7
2024-02,18,api-core,34499,15.21,333.1,13,2352.14
2024-03,19,api-core,38193,17.65,339.4,5,2128.65
2024-04,20,api-core,37813,16.05,346.4,12,2314.21
2024-05,21,api-core,37712,15.78,350.1,15,2469.63
2024-06,22,api-core,38730,18.32,352.3,17,2504.6
2024-07,23,api-core,33184,16.34,362.3,10,2480.94
2024-08,24,api-core,32369,13.97,368.6,6,2252.66
2024-09,25,api-core,43576,18.18,379.2,13,5746.03
2024-10,26,api-core,47042,20.12,382.5,11,2282.04
2024-11,27,api-core,45528,20.24,388.2,11,2313.6
2024-12,28,api-core,43496,18.78,387.4,3,2073.45
2025-01,29,api-core,42337,18.44,395.2,8,2134.0
2025-02,30,api-core,46679,21.27,398.9,18,2374.84
2025-03,31,api-core,49084,19.93,398.7,12,2321.87
2025-04,32,api-core,48398,19.95,400.6,17,2391.24
2025-05,33,api-core,51470,23.4,406.7,12,2481.14
