id_story,team,sprint,story_point,tipo,seniority_sviluppatore,criteri_accettazione,dipendenze_esterne,ore_effettive
US-0001,Beta,8,2,Spike,Senior,5,0,13.5
US-0002,Beta,7,3,Bug,Junior,7,0,54.0
US-0003,Alpha,5,3,Spike,Mid,4,0,24.5
US-0004,Delta,5,2,Feature,Mid,2,1,10.0
US-0005,Delta,15,13,Feature,Senior,4,0,73.5
US-0006,Alpha,23,1,Feature,Junior,3,1,6.5
US-0007,Beta,14,8,Bug,Mid,2,0,60.0
US-0008,Alpha,10,8,Spike,Junior,6,0,83.5
US-0009,Gamma,20,13,Feature,Mid,6,1,107.5
US-0010,Alpha,17,8,Bug,Mid,7,1,50.0
US-0011,Beta,4,5,Debito tecnico,Junior,4,0,43.5
US-0012,Gamma,12,2,Feature,Junior,2,0,9.0
US-0013,Delta,16,2,Feature,Mid,4,0,12.5
US-0014,Delta,14,3,Feature,Junior,1,0,22.5
US-0015,Beta,1,3,Feature,Senior,3,1,27.0
US-0016,Alpha,9,5,Debito tecnico,Senior,2,0,20.0
US-0017,Gamma,24,1,Feature,Senior,1,0,3.0
US-0018,Beta,19,2,Spike,Junior,2,1,30.0
US-0019,Beta,18,5,Debito tecnico,Mid,3,0,24.0
US-0020,Delta,13,3,Feature,Mid,3,0,16.5
US-0021,Beta,14,2,Feature,Mid,3,0,11.0
US-0022,Gamma,12,1,Bug,Senior,4,0,3.5
US-0023,Gamma,6,8,Bug,Mid,6,0,61.0
US-0024,Beta,14,8,Bug,Junior,5,1,130.0
US-0025,Delta,21,1,Feature,Junior,1,0,6.5
US-0026,Beta,23,5,Spike,Mid,5,0,32.5
US-0027,Gamma,9,1,Feature,Senior,1,0,2.5
US-0028,Gamma,20,3,Bug,Mid,3,0,7.5
US-0029,Delta,8,3,Feature,Junior,4,1,39.5
US-0030,Beta,2,3,Bug,Mid,3,1,52.5
US-0031,Alpha,8,2,Feature,Mid,1,0,8.0
US-0032,Gamma,9,3,Feature,Senior,3,0,10.0
US-0033,Alpha,24,5,Feature,Mid,4,0,31.0
US-0034,Delta,4,2,Spike,Mid,3,0,11.5
US-0035,Delta,11,3,Feature,Junior,6,1,33.5
US-0036,Alpha,22,2,Feature,Junior,1,1,17.0
US-0037,Alpha,6,13,Feature,Senior,8,1,100.5
US-0038,Gamma,6,5,Feature,Senior,8,1,26.0
US-0039,Gamma,15,8,Spike,Senior,1,0,32.0
US-0040,Delta,19,3,Feature,Senior,2,0,11.5
US-0041,Alpha,7,2,Spike,Mid,2,0,13.5
US-0042,Alpha,15,1,Feature,Mid,1,0,5.5
US-0043,Beta,16,5,Feature,Senior,5,0,18.0
US-0044,Alpha,19,5,Debito tecnico,Mid,2,0,13.0
US-0045,Delta,14,8,Feature,Mid,4,0,37.0
US-0046,Gamma,17,5,Debito tecnico,Mid,1,0,16.0
US-0047,Gamma,9,1,Feature,Senior,1,0,2.5
US-0048,Gamma,7,3,Feature,Mid,3,0,12.5
US-0049,Gamma,10,2,Feature,Mid,1,1,9.5
US-0050,Beta,12,3,Feature,Senior,1,0,15.0
US-0051,Alpha,14,5,Debito tecnico,Junior,4,0,48.0
US-0052,Delta,5,3,Feature,Junior,2,0,19.0
US-0053,Gamma,20,5,Feature,Mid,3,0,27.5
US-0054,Alpha,6,2,Feature,Mid,2,0,14.0
US-0055,Alpha,7,3,Feature,Senior,5,0,9.0
US-0056,Alpha,3,2,Feature,Mid,1,1,7.5
US-0057,Delta,7,3,Feature,Senior,1,0,14.0
US-0058,Alpha,22,2,Feature,Mid,2,0,10.5
US-0059,Delta,21,2,Bug,Mid,1,0,12.5
US-0060,Delta,7,13,Bug,Senior,11,1,55.0
US-0061,Alpha,6,2,Spike,Junior,3,1,15.0
US-0062,Alpha,4,5,Bug,Junior,8,1,54.0
US-0063,Delta,8,5,Feature,Junior,5,1,67.5
US-0064,Gamma,6,3,Feature,Junior,1,0,14.0
US-0065,Delta,2,5,Bug,Mid,2,0,38.0
US-0066,Delta,7,3,Feature,Junior,5,0,27.0
US-0067,Alpha,6,8,Debito tecnico,Mid,5,1,77.5
US-0068,Alpha,4,1,Feature,Senior,3,1,3.5
US-0069,Delta,9,1,Bug,Mid,1,0,5.5
US-0070,Alpha,17,3,Bug,Mid,3,0,24.5
US-0071,Delta,24,3,Feature,Mid,3,0,15.0
US-0072,Delta,16,2,Feature,Senior,2,1,10.0
US-0073,Beta,18,2,Feature,Junior,2,0,17.0
US-0074,Beta,15,5,Feature,Senior,4,0,22.5
US-0075,Delta,15,8,Feature,Mid,4,0,37.5
US-0076,Beta,21,2,Feature,Senior,3,0,9.5
US-0077,Alpha,22,2,Feature,Mid,1,1,11.0
US-0078,Gamma,2,1,Debito tecnico,Junior,2,0,4.5
US-0079,Beta,13,13,Bug,Senior,4,1,87.5
US-0080,Gamma,15,1,Debito tecnico,Junior,2,0,4.0
US-0081,Delta,24,2,Spike,Senior,3,0,15.5
US-0082,Alpha,15,3,Bug,Mid,4,0,23.5
US-0083,Alpha,7,2,Bug,Junior,3,0,14.0
US-0084,Delta,18,5,Feature,Mid,4,1,45.5
US-0085,Delta,24,1,Debito tecnico,Mid,3,1,5.0
US-0086,Delta,8,3,Bug,Mid,2,0,21.5
US-0087,Alpha,8,2,Bug,Senior,3,0,12.0
US-0088,Alpha,11,5,Feature,Junior,4,1,70.0
US-0089,Beta,15,1,Bug,Junior,1,1,11.0
US-0090,Alpha,9,2,Bug,Junior,1,0,15.0
US-0091,Beta,17,8,Feature,Senior,3,1,50.5
US-0092,Gamma,10,8,Bug,Junior,5,1,56.5
