id_ticket,priorita,componente,tipo,lunghezza_descrizione,commenti_24h,carico_assegnatario,esperienza_assegnatario_mesi,allegati,ore_risoluzione
T-00001,Alta,API,Richiesta,624,2,9,15,1,61.6
T-00002,Media,Documentazione,Richiesta,454,1,5,21,0,9.6
T-00003,Alta,Frontend,Bug,327,5,10,14,0,9.2
T-00004,Media,Frontend,Richiesta,281,1,7,28,1,55.8
T-00005,Bassa,Infrastruttura,Bug,583,2,7,23,0,61.3
T-00006,Critica,Database,Richiesta,454,1,10,68,0,35.6
T-00007,Alta,Mobile,Richiesta,398,0,5,5,0,32.1
T-00008,Alta,Database,Bug,1518,4,8,17,0,23.7
T-00009,Bassa,Backend,Bug,571,1,6,62,0,38.1
T-00010,Media,Mobile,Richiesta,1286,1,8,14,1,154.8
T-00011,Media,Backend,Bug,436,2,7,47,0,13.9
T-00012,Critica,Backend,Domanda,695,3,8,33,0,8.7
T-00013,Media,API,Richiesta,580,0,5,31,0,93.6
T-00014,Alta,Mobile,Richiesta,217,3,4,47,0,19.6
T-00015,Media,Infrastruttura,Bug,1414,1,9,29,1,51.7
T-00016,Bassa,Frontend,Richiesta,553,1,11,15,1,163.5
T-00017,Media,Backend,Domanda,939,0,7,44,1,17.0
T-00018,Bassa,Documentazione,Bug,382,1,2,53,0,11.4
T-00019,Alta,Backend,Bug,543,2,9,53,0,54.4
T-00020,Media,Backend,Bug,357,1,9,54,1,27.9
T-00021,Alta,Frontend,Bug,1260,1,6,41,0,12.0
T-00022,Media,Database,Richiesta,723,0,7,6,0,124.8
T-00023,Critica,Infrastruttura,Bug,748,5,4,119,0,10.4
T-00024,Alta,Mobile,Richiesta,1355,2,5,53,0,76.4
T-00025,Alta,Mobile,Bug,1201,6,12,23,1,29.7
T-00026,Bassa,Backend,Bug,950,1,9,58,1,73.8
T-00027,Media,Frontend,Bug,256,0,7,11,0,39.1
T-00028,Bassa,Database,Domanda,395,1,14,48,0,51.8
T-00029,Bassa,Backend,Richiesta,329,3,12,25,1,130.7
T-00030,Media,Frontend,Bug,928,0,11,12,0,63.7
T-00031,Alta,Frontend,Richiesta,665,1,7,12,1,41.6
T-00032,Critica,Backend,Bug,261,3,4,43,0,6.9
T-00033,Media,API,Bug,536,0,8,47,1,66.1
T-00034,Media,Mobile,Bug,245,1,10,14,0,39.5
T-00035,Media,Backend,Domanda,581,0,12,25,0,33.8
T-00036,Bassa,Database,Richiesta,222,1,11,40,1,282.1
T-00037,Bassa,Mobile,Richiesta,824,1,6,20,1,102.5
T-00038,Media,Mobile,Bug,753,1,13,106,1,161.4
T-00039,Bassa,Infrastruttura,Bug,1885,1,7,43,0,97.8
T-00040,Media,Frontend,Richiesta,998,1,7,29,1,49.9
T-00041,Media,Infrastruttura,Bug,466,0,6,65,0,67.3
T-00042,Alta,Backend,Domanda,980,2,8,46,0,12.8
T-00043,Alta,Frontend,Richiesta,259,2,7,40,0,24.0
T-00044,Media,Backend,Bug,337,2,12,44,0,61.0
T-00045,Alta,Database,Richiesta,733,5,5,54,1,44.0
T-00046,Alta,Frontend,Domanda,164,1,4,19,1,15.4
T-00047,Media,Backend,Bug,587,1,8,5,0,48.1
T-00048,Bassa,Mobile,Richiesta,325,0,6,68,0,59.5
T-00049,Media,Frontend,Domanda,638,3,9,33,0,11.1
T-00050,Bassa,Frontend,Bug,314,3,5,22,0,52.7
T-00051,Bassa,Backend,Domanda,774,1,5,15,0,36.2
T-00052,Bassa,Frontend,Bug,607,3,11,14,1,84.9
T-00053,Alta,Frontend,Richiesta,1390,4,4,36,0,18.8
T-00054,Media,Frontend,Richiesta,602,1,4,31,0,76.9
T-00055,Alta,Backend,Richiesta,378,0,4,65,1,69.8
T-00056,Alta,Mobile,Bug,517,4,7,47,0,20.9
T-00057,Media,Documentazione,Richiesta,268,1,7,53,0,53.9
T-00058,Media,Database,Bug,766,3,10,63,0,84.7
T-00059,Bassa,API,Bug,855,0,3,37,0,169.4
T-00060,Bassa,Infrastruttura,Bug,2640,1,6,86,0,145.3
T-00061,Media,Documentazione,Richiesta,413,2,8,18,1,35.6
T-00062,Media,API,Bug,511,3,4,62,0,38.2
T-00063,Media,Infrastruttura,Bug,425,1,4,5,1,50.8
T-00064,Alta,Documentazione,Domanda,681,2,8,5,1,7.5
T-00065,Media,Mobile,Bug,754,1,3,11,1,88.3
T-00066,Media,Database,Bug,581,1,8,29,1,100.0
T-00067,Media,Backend,Bug,1151,2,7,4,1,57.2
T-00068,Media,Backend,Bug,414,1,9,28,1,52.4
T-00069,Bassa,Database,Richiesta,1084,2,7,23,0,235.8
